(-7.34611e-016,0)
(12.3735,0)
(0.0614831,0)
(0.176962,0)
(0.21647,0)
(0.272732,0)
(0.387209,0)
(0.398379,0)
(0.42932,0)
(0.559626,0)
(0.695866,0)
(0.75176,0)
(0.808117,0)
(0.928285,0)
(11.6655,0)
(11.631,0)
(0.972932,0)
(1.10314,0)
(1.23265,0)
(1.31726,0)
(1.41246,0)
(1.48189,0)
(1.59917,0)
(1.61775,0)
(1.6448,0)
(1.69768,0)
(1.76408,0)
(10.8909,0)
(1.85809,0)
(1.91354,0)
(2.0226,0)
(2.0465,0)
(2.1324,0)
(2.18135,0)
(2.2506,0)
(2.35748,0)
(2.4419,0)
(10.5726,0)
(2.55617,0)
(2.63131,0)
(2.6377,0)
(2.68563,0)
(10.3368,0)
(2.71311,0)
(2.79336,0)
(2.85002,0)
(2.87622,0)
(2.93542,0)
(2.9683,0)
(2.98572,0)
(3.06654,0)
(3.16555,0)
(10.1408,0)
(10.101,0)
(3.2736,0)
(3.3861,0)
(9.99368,0)
(3.42477,0)
(9.95096,0)
(3.44797,0)
(3.55852,0)
(3.58731,0)
(3.68943,0)
(3.71325,0)
(9.77265,0)
(3.77353,0)
(3.80551,0)
(3.80852,0)
(9.72744,0)
(3.85948,0)
(3.89989,0)
(9.68737,0)
(3.97459,0)
(4.01148,0)
(4.04454,0)
(4.07878,0)
(4.09552,0)
(4.14438,0)
(4.26303,0)
(4.30834,0)
(9.52709,0)
(4.32704,0)
(9.5087,0)
(9.49872,0)
(4.39034,0)
(9.44849,0)
(4.43844,0)
(4.51611,0)
(4.53943,0)
(4.55475,0)
(9.37953,0)
(4.63807,0)
(4.69744,0)
(9.30525,0)
(4.76693,0)
(9.27441,0)
(4.80117,0)
(4.8469,0)
(4.86735,0)
(4.89758,0)
(4.93897,0)
(9.18932,0)
(4.97612,0)
(9.15606,0)
(9.14154,0)
(5.04661,0)
(5.07539,0)
(9.10731,0)
(5.10556,0)
(9.08063,0)
(5.1369,0)
(9.05049,0)
(5.17213,0)
(5.24296,0)
(8.99108,0)
(5.29006,0)
(8.93247,0)
(5.35347,0)
(8.90306,0)
(5.37503,0)
(8.88142,0)
(5.45,0)
(8.80566,0)
(5.46985,0)
(5.5279,0)
(8.78191,0)
(8.76554,0)
(5.56905,0)
(5.57243,0)
(8.75038,0)
(5.66632,0)
(8.68369,0)
(8.67875,0)
(5.6762,0)
(5.72206,0)
(8.63451,0)
(8.60502,0)
(5.78244,0)
(5.80517,0)
(8.5809,0)
(5.8454,0)
(8.54294,0)
(8.5251,0)
(8.52829,0)
(5.86418,0)
(5.89799,0)
(8.46673,0)
(8.45206,0)
(5.96623,0)
(5.99466,0)
(6.00382,0)
(6.04068,0)
(6.05793,0)
(8.3954,0)
(6.07379,0)
(8.38448,0)
(8.35037,0)
(8.34446,0)
(6.12015,0)
(8.32812,0)
(8.30302,0)
(6.194,0)
(6.21283,0)
(6.2275,0)
(8.26506,0)
(6.25544,0)
(8.25218,0)
(8.20366,0)
(8.18287,0)
(8.17646,0)
(8.16101,0)
(6.30012,0)
(8.10806,0)
(6.35058,0)
(8.08208,0)
(6.37019,0)
(8.06767,0)
(6.40337,0)
(8.03427,0)
(8.03707,0)
(6.41493,0)
(8.00441,0)
(6.45588,0)
(7.98884,0)
(6.50021,0)
(7.94395,0)
(6.56655,0)
(6.57584,0)
(6.58785,0)
(7.92004,0)
(6.60552,0)
(7.88495,0)
(7.86898,0)
(6.67109,0)
(7.8416,0)
(6.71113,0)
(7.83103,0)
(6.75166,0)
(7.78226,0)
(7.79078,0)
(6.77222,0)
(7.7539,0)
(6.80274,0)
(6.80964,0)
(7.73355,0)
(7.71614,0)
(6.83567,0)
(6.89212,0)
(7.6617,0)
(6.93232,0)
(6.95376,0)
(6.9696,0)
(6.97929,0)
(7.00517,0)
(7.02168,0)
(7.61219,0)
(7.05143,0)
(7.57763,0)
(7.12749,0)
(7.13682,0)
(7.54368,0)
(7.18506,0)
(7.51044,0)
(7.50621,0)
(7.2189,0)
(7.23599,0)
(7.23903,0)
(7.46465,0)
(7.46063,0)
(7.44272,0)
(7.4331,0)
(7.32405,0)
(7.33113,0)
(7.35524,0)
(7.38329,0)
(7.07505,0)
(7.38764,0)
-------------------
237
-------------------
